2026-02-20 13:26:18,2,77.06,3,8.9,7.55,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 13:27:18,1,75.55,28,5.05,4.27,SCALE_OUT,[Emergency] Detected 28 Pending Pods
2026-02-20 13:57:43,2,77.41,5,8.9,7.92,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 13:58:44,2,77.45,5,8.9,7.76,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 13:59:45,2,77.56,6,8.9,7.63,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:00:46,2,79.04,7,8.9,7.35,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:01:47,2,77.85,6,8.9,7.29,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:02:48,2,77.68,8,8.9,7.27,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:03:49,2,76.9,7,8.9,7.24,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:04:49,2,77.28,8,8.9,7.23,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:05:50,2,78.11,9,8.9,7.22,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:06:51,2,76.65,9,8.9,7.2,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:07:52,2,78.08,9,8.9,7.2,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:08:53,2,77.15,4,8.9,7.19,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:09:54,2,78.1,3,8.9,7.18,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:10:54,2,77.25,3,8.9,7.18,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:11:55,2,77.95,0,8.9,7.18,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:12:56,2,76.34,0,8.3,6.49,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:13:57,2,74.22,0,8.3,6.5,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-20 14:14:58,2,74.33,0,7.9,6.1,DO_NOTHING,System is stable
